2025-08-05 14:21:12 | INFO | root: ==> [Pipeline] Stage-1: Inference
2025-08-05 14:21:12 | INFO | Openeval.datasets.utils.load_data: 开始处理 Openeval/datasets/test_data/aime24.jsonl
2025-08-05 14:21:12 | INFO | Openeval.datasets.utils.load_data: 完成 aime24_promptid_0：共渲染 1 条 prompt
2025-08-05 14:21:12 | INFO | Openeval.datasets.utils.load_data: 结果已写入 Openeval/datasets/formatted_data/aime24_promptid_0.jsonl
2025-08-05 14:21:12 | INFO | Openeval.datasets.utils.load_data: 完成 aime24_promptid_1：共渲染 1 条 prompt
2025-08-05 14:21:12 | INFO | Openeval.datasets.utils.load_data: 结果已写入 Openeval/datasets/formatted_data/aime24_promptid_1.jsonl
2025-08-05 14:21:12 | INFO | Openeval.datasets.utils.load_data: 完成 aime24_promptid_2：共渲染 1 条 prompt
2025-08-05 14:21:12 | INFO | Openeval.datasets.utils.load_data: 结果已写入 Openeval/datasets/formatted_data/aime24_promptid_2.jsonl
2025-08-05 14:21:12 | INFO | Openeval.infer.run_infer: Reuse existing vLLM on 10.200.250.35:7004
2025-08-05 14:21:12 | INFO | Openeval.infer.run_infer: save to predictions/aime24_promptid_0_qwen2.5_7b_pred.jsonl 
2025-08-05 14:21:12 | INFO | Openeval.infer.run_infer: Debug mode with openai completion
2025-08-05 14:21:12 | INFO | root: saving to predictions/aime24_promptid_0_qwen2.5_7b_pred.jsonl
