2025-08-04 17:53:54 | INFO | root: ==> [Pipeline] Stage-1: Inference
2025-08-04 17:53:54 | INFO | Openeval.datasets.utils.load_data: 开始处理 Openeval/datasets/test_data/aime24.jsonl
2025-08-04 17:53:54 | INFO | Openeval.datasets.utils.load_data: 完成 aime24_promptid_0：共渲染 30 条 prompt
2025-08-04 17:53:54 | INFO | Openeval.datasets.utils.load_data: 结果已写入 Openeval/datasets/formatted_data/aime24_promptid_0.jsonl
2025-08-04 17:53:54 | INFO | Openeval.infer.run_infer: No active vLLM found — launching…
2025-08-04 17:54:36 | INFO | Openeval.infer.run_infer: vLLM is ready
2025-08-04 17:54:36 | INFO | Openeval.infer.run_infer: save to predictions/aime24_promptid_0_qwen2.5_7b_1_pred.jsonl 
2025-08-04 17:54:36 | INFO | Openeval.infer.run_infer: Debug mode with openai completion
2025-08-04 17:54:36 | INFO | root: saving to predictions/aime24_promptid_0_qwen2.5_7b_1_pred.jsonl
2025-08-04 17:54:36 | INFO | httpx: HTTP Request: POST http://0.0.0.0:7002/v1/chat/completions "HTTP/1.1 503 Service Unavailable"
2025-08-04 17:54:36 | INFO | httpx: HTTP Request: POST http://0.0.0.0:7002/v1/chat/completions "HTTP/1.1 503 Service Unavailable"
2025-08-04 17:54:36 | INFO | openai._base_client: Retrying request to /chat/completions in 0.434858 seconds
2025-08-04 17:54:36 | INFO | httpx: HTTP Request: POST http://0.0.0.0:7002/v1/chat/completions "HTTP/1.1 503 Service Unavailable"
2025-08-04 17:54:36 | INFO | openai._base_client: Retrying request to /chat/completions in 0.463486 seconds
2025-08-04 17:54:36 | INFO | httpx: HTTP Request: POST http://0.0.0.0:7002/v1/chat/completions "HTTP/1.1 503 Service Unavailable"
2025-08-04 17:54:36 | INFO | openai._base_client: Retrying request to /chat/completions in 0.456438 seconds
2025-08-04 17:54:36 | INFO | httpx: HTTP Request: POST http://0.0.0.0:7002/v1/chat/completions "HTTP/1.1 503 Service Unavailable"
2025-08-04 17:54:36 | INFO | openai._base_client: Retrying request to /chat/completions in 0.381691 seconds
2025-08-04 17:54:36 | INFO | httpx: HTTP Request: POST http://0.0.0.0:7002/v1/chat/completions "HTTP/1.1 503 Service Unavailable"
2025-08-04 17:54:36 | INFO | openai._base_client: Retrying request to /chat/completions in 0.408227 seconds
2025-08-04 17:54:36 | INFO | openai._base_client: Retrying request to /chat/completions in 0.449958 seconds
2025-08-04 17:54:36 | INFO | httpx: HTTP Request: POST http://0.0.0.0:7002/v1/chat/completions "HTTP/1.1 503 Service Unavailable"
2025-08-04 17:54:36 | INFO | httpx: HTTP Request: POST http://0.0.0.0:7002/v1/chat/completions "HTTP/1.1 503 Service Unavailable"
2025-08-04 17:54:36 | INFO | openai._base_client: Retrying request to /chat/completions in 0.411132 seconds
2025-08-04 17:54:36 | INFO | openai._base_client: Retrying request to /chat/completions in 0.411239 seconds
2025-08-04 17:54:36 | INFO | httpx: HTTP Request: POST http://0.0.0.0:7002/v1/chat/completions "HTTP/1.1 503 Service Unavailable"
